id,season,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,awaypos,homepos
9645,2014/2015,9823,8721,2,1,1.25,6,10,1.26,5.75,10,1.28,5.5,8.5,1.25,6.5,10,1.28,6.47,12,1.2,7,12,1.29,6,12,44,56
9646,2014/2015,9789,8178,0,2,1.57,4.33,5,1.62,4,5,1.55,4.3,5,1.57,4,5.5,1.63,4.39,5.56,1.62,4.2,5,1.65,4,6,47,53
9647,2014/2015,9788,10269,1,1,1.95,3.5,3.75,1.95,3.5,3.7,1.9,3.45,3.8,1.9,3.6,3.8,1.94,3.73,4.22,1.95,3.5,3.8,1.95,3.6,4.2,44,56
9648,2014/2015,8226,8406,2,0,1.91,3.6,3.8,1.95,3.5,3.7,2,3.4,3.5,1.9,3.6,3.75,1.96,3.83,4.02,1.95,3.5,3.8,2,3.75,3.75,49,51
9649,2014/2015,9904,10189,2,1,2.9,3.5,2.3,2.85,3.5,2.3,2.85,3.4,2.3,3,3.4,2.3,3.15,3.58,2.37,3.2,3.2,2.3,3.2,3.5,2.38,57,43
9650,2014/2015,8177,8697,2,2,1.95,3.5,3.75,1.95,3.6,3.6,2,3.3,3.6,2,3.4,3.75,1.97,3.67,4.16,1.95,3.5,3.8,2,3.5,4.1,39,61
9651,2014/2015,9810,8358,1,0,2.05,3.4,3.6,2.05,3.4,3.5,2,3.4,3.5,2,3.5,3.6,2.04,3.63,3.93,2.1,3.3,3.5,2.05,3.5,4,45,55
9652,2014/2015,8722,9790,0,0,2,3.5,3.6,2.05,3.5,3.4,2.1,3.3,3.3,2,3.4,3.4,2.04,3.67,3.89,2.05,3.6,3.4,2.05,3.6,3.8,55,45
9653,2014/2015,8460,9905,2,2,3.1,3.4,2.25,2.85,3.4,2.35,2.75,3.3,2.4,2.87,3.4,2.37,3.15,3.43,2.43,3.1,3.1,2.4,3,3.5,2.45,60,40
9654,2014/2015,9823,9789,2,1,1.44,4.5,6.5,1.53,4.1,6.25,1.53,3.85,6,1.44,4.5,6.5,1.5,4.78,7.05,1.5,4.33,6,1.5,4.5,6.5,36,64
9655,2014/2015,10189,8406,1,0,1.91,3.6,3.8,1.95,3.4,3.75,1.85,3.45,4,1.9,3.6,4,1.98,3.69,4.09,1.91,3.6,3.75,1.95,3.6,3.9,48,52
9656,2014/2015,9788,8226,3,1,1.95,3.5,3.75,1.95,3.4,3.8,1.9,3.45,3.8,1.95,3.5,3.75,2.01,3.71,3.95,2,3.5,3.6,2.05,3.75,3.6,42,58
9657,2014/2015,9905,8697,1,2,1.73,4,4.33,1.78,3.5,4.5,1.77,3.6,4.2,1.66,4,4.75,1.82,3.95,4.59,1.83,3.5,4.2,1.87,4,4.2,40,60
9658,2014/2015,9904,9810,1,0,2.25,3.4,3.1,2.35,3.3,2.9,2.2,3.3,3.1,2.3,3.5,3,2.31,3.63,3.21,2.3,3.5,2.9,2.3,3.5,3.1,36,64
9659,2014/2015,10269,8721,0,4,3.3,3.5,2.1,3.1,3.3,2.25,2.9,3.3,2.3,3.2,3.5,2.15,3.35,3.71,2.21,3.2,3.2,2.25,3.2,3.5,2.2,47,53
9660,2014/2015,9790,8178,1,0,3.4,3.5,2.05,3.5,3.4,2.05,3.3,3.3,2.1,3.6,3.5,2,3.82,3.73,2.04,3.4,3.5,2.05,3.6,3.6,2.05,50,50
9661,2014/2015,8722,8358,0,1,1.91,3.6,3.8,1.91,3.4,3.9,1.9,3.3,4,1.95,3.5,3.75,1.94,3.6,4.39,1.91,3.4,4,1.92,3.6,4.3,52,48
9662,2014/2015,8460,8177,3,1,2.5,3.5,2.63,2.7,3.1,2.7,2.5,3.3,2.65,2.37,3.5,2.8,2.62,3.49,2.84,2.62,3.2,2.7,2.7,3.5,2.7,45,55
9663,2014/2015,9789,9788,1,0,1.57,4.33,5,1.65,3.75,5,1.65,3.7,4.9,1.57,4,5.5,1.61,4.44,5.75,1.62,3.75,5.5,1.62,4.3,5.4,34,66
9664,2014/2015,8178,9905,0,0,1.5,4.33,6,1.53,3.9,6.25,1.5,4,6.1,1.5,4.33,6,1.5,4.75,6.92,1.53,4,6,1.55,4.5,6.25,49,51
9665,2014/2015,8721,9790,2,0,1.57,4.2,5.25,1.62,3.9,5,1.6,3.9,5,1.61,4,5,1.63,4.33,5.71,1.62,3.75,5.5,1.65,4.2,5.4,38,62
9666,2014/2015,8406,8460,3,0,1.73,3.8,4.5,1.83,3.5,4.2,1.8,3.5,4.2,1.8,3.6,4.33,1.79,3.81,5.04,1.8,3.5,4.5,1.83,3.8,4.6,56,44
9667,2014/2015,8226,8722,3,4,1.8,3.8,4,1.85,3.4,4.25,1.75,3.5,4.5,1.75,3.75,4.33,1.85,3.74,4.67,1.83,3.5,4.33,1.87,3.8,4.4,45,55
9668,2014/2015,8177,9904,0,2,2.05,3.4,3.5,2.1,3.25,3.5,2.1,3.3,3.3,2.05,3.4,3.6,2.11,3.57,3.75,2.05,3.4,3.6,2.1,3.4,3.6,57,43
9669,2014/2015,8697,10269,2,0,2.63,3.3,2.63,2.65,3.2,2.65,2.65,3.3,2.5,2.5,3.4,2.7,2.63,3.73,2.68,2.62,3.3,2.62,2.62,3.5,2.62,55,45
9670,2014/2015,9810,9823,0,4,13,7,1.18,11.5,6.25,1.24,10,6,1.23,12,6,1.22,14.15,7.05,1.24,12,6,1.22,15,7,1.2,64,36
9671,2014/2015,8358,10189,2,0,2.63,3.5,2.5,2.6,3.3,2.6,2.9,3.3,2.3,2.87,3.4,2.37,2.84,3.43,2.66,2.7,3.2,2.62,2.8,3.5,2.55,50,50
9672,2014/2015,9823,8226,4,0,1.14,8,15,1.17,7.25,14.5,1.17,6.5,14,1.14,8,15,1.17,9.04,17.4,1.17,7,15,1.17,9,18,37,63
9673,2014/2015,10189,8721,3,2,3,3.4,2.3,2.95,3.25,2.35,2.65,3.3,2.5,2.9,3.5,2.38,3.21,3.61,2.27,3,3.2,2.37,3,3.4,2.3,52,48
9674,2014/2015,9788,9810,1,3,1.36,5,7.5,1.45,4.33,6.5,1.5,4,6.1,1.44,4.33,7,1.4,5.34,8.39,1.44,4.33,7,1.45,4.8,7,41,59
9675,2014/2015,9905,8358,2,2,2.15,3.3,3.4,2.2,3.3,3.2,2,3.3,3.6,2.05,3.4,3.5,2.17,3.49,3.66,2.2,3.3,3.3,2.2,3.4,3.5,41,59
9676,2014/2015,9904,8178,1,3,3.8,3.6,1.91,3.6,3.4,2,3.3,3.3,2.1,3.8,3.5,1.95,4.17,3.73,1.95,3.8,3.3,2,3.9,3.5,2,39,61
9677,2014/2015,10269,8406,0,1,2.38,3.5,2.8,2.5,3.3,2.7,2.4,3.3,2.75,2.4,3.4,2.8,2.53,3.49,2.96,2.6,3.1,2.8,2.45,3.4,2.9,57,43
9678,2014/2015,9790,8697,2,0,1.91,3.6,3.75,1.95,3.4,3.75,2.1,3.3,3.3,1.91,3.6,3.75,1.9,3.81,4.32,1.95,3.5,3.75,1.93,3.6,4.1,37,63
9679,2014/2015,8722,8177,1,2,2.1,3.3,3.5,2.15,3.2,3.4,2.1,3.3,3.3,2.1,3.3,3.5,2.22,3.37,3.65,2.25,3.2,3.2,2.2,3.25,3.6,46,54
9680,2014/2015,8460,9789,2,2,7,4.75,1.4,7.25,4.1,1.47,7,4,1.45,7,4.33,1.44,7.65,5.07,1.44,7,4.33,1.44,7,4.8,1.45,66,34
9681,2014/2015,10189,9905,4,1,1.95,3.7,3.75,1.91,3.4,4,1.95,3.45,3.6,1.8,3.6,4.33,1.95,3.7,4.21,1.95,3.3,4,1.95,3.7,3.9,43,57
9682,2014/2015,8178,8722,5,1,1.5,4.33,6.5,1.53,4.1,5.75,1.55,4,5.5,1.5,4.33,6,1.53,4.45,7.08,1.53,4,6,1.55,4.33,6.5,33,67
9683,2014/2015,8721,9788,1,0,1.91,3.75,3.8,1.95,3.4,3.75,2,3.3,3.6,1.85,3.6,4,1.93,3.82,4.18,1.91,3.4,4,1.95,3.8,3.9,62,38
9684,2014/2015,8406,9790,3,1,2,3.5,3.75,2,3.25,3.8,1.9,3.45,3.8,1.9,3.5,4,2.03,3.54,4.08,2.05,3.3,3.6,2.05,3.6,3.9,46,54
9685,2014/2015,8226,9904,4,3,1.7,4,4.75,1.75,3.6,4.6,1.8,3.5,4.2,1.75,3.75,4.33,1.75,4.09,4.93,1.67,4.2,4.5,1.75,3.8,4.6,56,44
9686,2014/2015,8177,9823,0,1,15,7.5,1.18,11,7,1.2,12,5.5,1.22,13,6.5,1.2,18.1,8,1.19,15,5.5,1.22,18,7,1.2,76,24
9687,2014/2015,8697,8460,4,0,2.2,3.5,3.25,2.25,3.4,3,2.2,3.3,3.1,2.2,3.5,3.1,2.28,3.6,3.29,2.3,3.2,3.2,2.25,3.5,3.2,29,71
9688,2014/2015,9810,9789,2,0,5,4.33,1.62,5,4,1.62,4.6,3.9,1.65,5,4,1.61,5.42,4.45,1.64,5,4,1.62,5,4.4,1.67,43,57
9689,2014/2015,8358,10269,1,4,2.25,3.4,3.1,2.4,3.3,2.85,2.4,3.3,2.75,2.25,3.5,3,2.43,3.55,3.06,2.25,3.4,3.1,2.4,3.5,2.88,46,54
9690,2014/2015,9823,8178,1,0,1.25,6,12,1.28,6,8.5,1.25,6,9.5,1.25,6,10,1.28,6.78,10.93,1.25,5.5,12,1.29,6.25,12,38,62
9691,2014/2015,9789,8226,1,0,1.5,4.6,6,1.55,4.33,5.25,1.6,3.9,5,1.5,4.33,6,1.52,4.87,6.4,1.5,4.5,5.5,1.53,4.8,6,51,49
9692,2014/2015,9788,8177,3,2,1.67,3.8,5.25,1.67,3.75,5,1.65,3.9,4.6,1.61,3.75,5.5,1.73,3.91,5.37,1.7,3.4,5.5,1.7,3.8,5.5,36,64
9693,2014/2015,9904,8721,1,3,3.8,3.6,1.95,3.7,3.5,1.95,3.6,3.3,2,3.8,3.5,1.95,4.12,3.86,1.93,4,3.3,1.95,3.9,3.6,1.98,49,51
9694,2014/2015,9810,8697,5,2,2.05,3.6,3.5,2,3.4,3.6,2,3.3,3.6,1.9,3.6,3.8,2.01,3.85,3.8,2,3.4,3.75,2.05,3.6,3.5,42,58
9695,2014/2015,10269,10189,0,4,2.25,3.4,3.25,2.25,3.3,3.1,2.3,3.3,2.9,2.25,3.4,3.1,2.24,3.65,3.34,2.3,3.2,3.2,2.25,3.4,3.25,62,38
9696,2014/2015,9790,9905,2,1,2.1,3.4,3.6,2.1,3.3,3.4,2,3.3,3.6,2.1,3.4,3.4,2.12,3.58,3.72,2.05,3.5,3.5,2.15,3.5,3.6,46,54
9697,2014/2015,8722,8406,1,2,2.88,3.2,2.55,2.75,3.1,2.7,2.6,3.2,2.6,2.7,3.25,2.62,2.97,3.25,2.66,2.8,3,2.7,2.9,3.2,2.62,63,37
9698,2014/2015,8460,8358,1,1,2.38,3.3,3.1,2.4,3.3,2.85,2.3,3.2,3,2.4,3.4,2.8,2.44,3.55,3.04,2.4,3.1,3.1,2.45,3.5,3,38,62
9699,2014/2015,10189,8722,1,2,1.8,3.7,4.5,1.8,3.5,4.33,1.65,3.7,4.9,1.7,3.75,4.75,1.88,3.78,4.49,1.83,3.4,4.5,1.87,3.75,4.5,52,48
9700,2014/2015,8178,9788,1,1,1.67,4,5,1.72,3.6,4.75,1.8,3.5,4.2,1.7,3.75,4.75,1.7,4.08,5.31,1.73,3.75,4.5,1.73,4,5,38,62
9701,2014/2015,8721,8460,1,1,1.36,5.25,8,1.42,4.75,6.5,1.37,4.8,7.2,1.4,4.75,7,1.41,5.41,7.88,1.4,4.5,8,1.4,4.8,7.5,35,65
9702,2014/2015,9905,10269,1,1,2.38,3.4,3,2.35,3.3,2.95,2.3,3.3,2.9,2.2,3.5,3.1,2.38,3.6,3.09,2.3,3.2,3.2,2.4,3.5,2.9,36,64
9703,2014/2015,8406,9823,0,4,9.5,5.75,1.3,8,5.25,1.33,9,5,1.3,8,5.25,1.33,9.79,5.42,1.36,11,4.5,1.33,9.5,5.25,1.36,74,26
9704,2014/2015,8226,9810,3,2,1.85,3.9,4,1.91,3.5,3.8,1.85,3.5,3.9,1.85,3.8,4,1.86,4.05,4.23,1.8,4.2,3.75,1.9,4.2,3.8,52,48
9705,2014/2015,8177,9789,1,0,5.5,4,1.62,5,4,1.62,5,4,1.6,5.5,4,1.57,5.88,4.08,1.65,5,4,1.65,5.5,4,1.67,61,39
9706,2014/2015,8697,9904,3,3,2.45,3.4,2.88,2.45,3.25,2.8,2.3,3.3,2.9,2.4,3.4,2.8,2.54,3.51,2.93,2.5,3.2,2.8,2.45,3.5,2.88,53,47
9707,2014/2015,8358,9790,0,0,2.4,3.3,3,2.45,3.25,2.8,2.4,3.3,2.75,2.37,3.25,3,2.42,3.43,3.17,2.5,3.2,2.8,2.4,3.4,3.1,55,45
9708,2014/2015,9823,8358,2,0,1.08,11,29,1.1,9.75,20,1.1,8,20,1.09,11,23,1.09,13.5,32,1.1,9,26,1.09,12,31,24,76
9709,2014/2015,9789,8721,2,2,1.85,3.75,4.2,1.91,3.5,3.8,1.9,3.5,3.75,1.9,3.5,4,1.93,3.98,3.98,1.83,3.5,4.2,1.95,3.75,3.9,66,34
9710,2014/2015,9788,8697,4,1,1.44,4.75,7,1.48,4.4,6,1.5,4,6.1,1.44,4.5,6.5,1.47,4.96,7.17,1.44,4.33,7,1.5,4.5,6.5,34,66
9711,2014/2015,8226,8178,0,1,3.25,3.75,2.1,3.1,3.4,2.2,3.1,3.3,2.2,3.2,3.4,2.2,3.24,3.83,2.22,3.3,3.3,2.2,3.4,3.4,2.25,60,40
9712,2014/2015,9904,8406,2,0,2.3,3.3,3.1,2.45,3.2,2.85,2.5,3.3,2.65,2.38,3.3,2.9,2.44,3.46,3.11,2.4,3.3,2.9,2.5,3.3,3.1,36,64
9713,2014/2015,9810,8177,4,4,2.05,3.5,3.6,2.15,3.4,3.25,2.2,3.3,3.1,2.1,3.5,3.25,2.09,3.7,3.73,2.1,3.3,3.5,2.15,3.4,3.4,24,76
9714,2014/2015,9790,10269,0,1,2.1,3.4,3.6,2.15,3.4,3.2,2.2,3.3,3.1,2.15,3.4,3.25,2.16,3.54,3.64,2.2,3.3,3.3,2.2,3.4,3.6,37,63
9715,2014/2015,8722,9905,0,0,2.25,3.4,3.2,2.4,3.2,2.9,2.3,3.3,2.9,2.3,3.4,3,2.36,3.41,3.3,2.3,3.2,3.2,2.38,3.3,3.2,56,44
9716,2014/2015,8460,10189,1,2,2.75,3.5,2.5,2.65,3.3,2.55,2.65,3.3,2.5,2.8,3.5,2.38,2.83,3.56,2.58,2.8,3.2,2.5,2.8,3.3,2.6,43,57
9717,2014/2015,10189,9790,0,0,1.8,3.6,4.5,1.83,3.6,4.1,1.85,3.6,3.8,1.72,3.75,4.5,1.81,3.84,4.85,1.83,3.4,4.5,1.85,3.6,4.5,37,63
9718,2014/2015,8178,9810,1,1,1.44,4.75,7,1.48,4.1,6.5,1.55,4,5.5,1.44,4.5,6.5,1.47,5.05,7.06,1.44,4.33,7,1.45,4.8,7,48,52
9719,2014/2015,8721,8722,2,1,1.5,4.2,7,1.53,4.2,5.75,1.55,4,5.5,1.5,4.1,6.5,1.5,4.58,7.34,1.53,3.75,7,1.5,4.5,7,32,68
9720,2014/2015,9905,9823,1,2,15,7,1.2,11.5,6.25,1.22,10.3,5.5,1.25,12,6,1.22,16.6,7.38,1.21,11,6.5,1.22,18,7,1.2,68,32
9721,2014/2015,8406,9788,2,1,2.5,3.4,2.8,2.6,3.3,2.75,2.6,3.2,2.6,2.5,3.3,2.75,2.64,3.41,2.87,2.62,3.1,2.8,2.6,3.4,2.9,43,57
9722,2014/2015,8177,8226,0,5,2.5,3.4,2.8,2.55,3.25,2.7,2.6,3.2,2.6,2.5,3.3,2.75,2.6,3.51,2.85,2.6,3.2,2.75,2.55,3.5,2.8,62,38
9723,2014/2015,8697,9789,2,1,6.5,4.33,1.5,5.75,3.8,1.57,6,3.85,1.53,6,4,1.53,5.95,4.64,1.57,6,3.8,1.57,5.75,4.2,1.57,59,41
9724,2014/2015,8358,9904,2,2,2.45,3.4,2.88,2.5,3.3,2.7,2.4,3.3,2.75,2.4,3.3,2.87,2.55,3.5,2.92,2.5,3.2,2.8,2.5,3.4,2.9,56,44
9725,2014/2015,10269,8460,0,0,1.85,3.8,4,1.9,3.4,4,1.85,3.5,3.9,1.9,3.6,3.8,1.88,3.9,4.33,1.91,3.5,4,1.87,3.8,4.1,58,42
9726,2014/2015,10189,9904,1,0,1.95,3.5,4,1.91,3.5,3.8,1.9,3.45,3.8,1.9,3.6,4,2.08,3.71,3.67,2,3.2,4,2.05,3.75,3.6,47,53
9727,2014/2015,8178,9789,0,0,2.5,3.4,2.8,2.45,3.2,3,2.5,3.2,2.75,2.4,3.4,2.8,2.47,3.51,3.03,2.5,3.2,2.9,2.45,3.5,2.9,37,63
9728,2014/2015,8721,9823,4,1,6.5,4.33,1.5,5.75,4.5,1.55,5,4,1.62,6,4.5,1.5,6.94,4.65,1.51,6,4.4,1.5,7,4.6,1.5,69,31
9729,2014/2015,9905,8460,5,0,2.05,3.5,3.6,2.05,3.4,3.5,2,3.3,3.6,2.05,3.4,3.5,2.07,3.6,3.85,2.05,3.3,3.75,2.05,3.6,3.75,43,57
9730,2014/2015,8406,8226,3,1,2.4,3.4,2.9,2.4,3.1,3,2.3,3.3,2.9,2.37,3.4,2.87,2.42,3.47,3.14,2.4,3.1,3.1,2.4,3.4,3,37,63
9731,2014/2015,8697,8177,2,0,2.38,3.4,3,2.45,3.3,2.8,2.3,3.3,2.9,2.3,3.4,3,2.39,3.53,3.14,2.4,3.1,3.1,2.4,3.5,3,38,62
9732,2014/2015,8358,9810,4,1,2.63,3.5,2.63,2.6,3.25,2.65,2.4,3.3,2.75,2.5,3.4,2.7,2.69,3.66,2.67,2.7,3.1,2.7,2.7,3.6,2.62,47,53
9733,2014/2015,10269,9788,0,1,3,3.4,2.38,2.8,3.3,2.45,2.75,3.3,2.4,2.87,3.4,2.37,3,3.51,2.49,2.9,3.2,2.5,2.9,3.5,2.5,62,38
9734,2014/2015,9790,8722,0,2,2.2,3.3,3.4,2.25,3.3,3.1,2.1,3.3,3.3,2.2,3.3,3.3,2.26,3.26,3.69,2.3,3.2,3.2,2.25,3.3,3.6,45,55
9735,2014/2015,9823,10189,1,1,1.13,9,19,1.16,7.5,13,1.2,6,12.5,1.14,8,15,1.15,9.8,20.89,1.14,8,17,1.15,9,20,52,48
9736,2014/2015,9789,8406,0,1,1.44,4.5,7.5,1.48,4.6,5.75,1.47,4,6.6,1.44,4.33,7,1.46,4.66,8.27,1.44,4,8,1.45,4.6,8,60,40
9737,2014/2015,9788,8358,1,0,1.53,4.33,6,1.53,4.5,5.25,1.55,4,5.5,1.53,4.33,5.5,1.57,4.41,6.38,1.55,4,6,1.57,4.4,6,48,52
9738,2014/2015,8226,8697,1,2,1.67,4.2,4.75,1.7,4,4.25,1.77,3.5,4.35,1.67,4.1,4.5,1.7,4.39,4.92,1.73,3.8,4.5,1.73,4.33,4.6,47,53
9739,2014/2015,9904,9905,1,1,2.25,3.4,3.25,2.3,3.4,2.9,2.2,3.3,3.1,2.2,3.5,3.1,2.33,3.57,3.2,2.25,3.3,3.2,2.3,3.5,3.13,42,58
9740,2014/2015,8177,8178,0,1,5.5,3.75,1.67,4.75,3.7,1.7,4.2,3.5,1.8,5,3.6,1.7,5.49,3.88,1.72,5,3.6,1.73,5.5,3.8,1.73,46,54
9741,2014/2015,9810,8721,1,1,3.8,4,1.85,3.75,3.6,1.9,3.8,3.45,1.9,3.8,3.8,1.85,4.05,4.12,1.88,3.75,4,1.85,3.9,4.1,1.9,50,50
9742,2014/2015,8722,10269,0,0,2.25,3.4,3.2,2.25,3.3,3.1,2.4,3.3,2.75,2.2,3.3,3.25,2.23,3.49,3.5,2.25,3.2,3.3,2.3,3.4,3.4,47,53
9743,2014/2015,8460,9790,0,3,2.5,3.3,2.88,2.5,3.3,2.7,2.5,3.3,2.65,2.38,3.4,2.9,2.57,3.49,2.9,2.5,3.2,2.9,2.55,3.5,2.9,36,64
9744,2014/2015,10189,9823,1,1,6,4.75,1.44,5.75,4.5,1.48,5.5,4,1.55,6,4.33,1.5,7.07,4.77,1.5,6,4.4,1.5,6.25,4.75,1.53,61,39
9745,2014/2015,8178,8177,4,2,1.44,4.5,6.5,1.45,4.25,6.75,1.5,4,6.1,1.44,4.1,7,1.45,4.86,8.15,1.44,4.8,6,1.45,4.8,7,26,74
9746,2014/2015,8721,9810,2,2,1.57,4.33,5,1.67,3.7,5,1.65,3.7,4.9,1.66,3.75,5,1.62,4.34,5.84,1.65,4,4.8,1.67,4.3,5,42,58
9747,2014/2015,9905,9904,0,0,2.2,3.3,3.3,2.2,3.4,3.1,2.2,3.3,3.1,2.1,3.5,3.3,2.18,3.61,3.52,2.2,3.4,3.2,2.2,3.5,3.3,49,51
9748,2014/2015,8406,9789,2,3,4.5,3.75,1.73,4.75,3.9,1.72,4.3,3.8,1.7,5,3.75,1.66,5.11,4,1.74,4.6,3.8,1.73,4.8,3.9,1.73,40,60
9749,2014/2015,8697,8226,1,1,3.2,3.5,2.15,3.1,3.4,2.2,2.9,3.3,2.3,3,3.4,2.2,3.35,3.74,2.2,3.1,3.6,2.2,3.2,3.6,2.2,56,44
9750,2014/2015,8358,9788,0,0,2.88,3.4,2.38,2.85,3.5,2.3,2.75,3.3,2.4,3,3.4,2.3,3.06,3.55,2.43,2.9,3.4,2.38,3,3.4,2.4,56,44
9751,2014/2015,10269,8722,0,2,2,3.5,3.6,2,3.4,3.6,2.1,3.3,3.3,2,3.4,3.6,1.98,3.65,4.14,2.05,3.4,3.6,2,3.6,4,42,58
9752,2014/2015,9790,8460,0,3,1.67,3.8,5,1.78,3.5,4.5,1.7,3.7,4.5,1.75,3.6,4.5,1.76,3.96,5.04,1.75,3.75,4.5,1.75,3.8,4.8,38,62
9753,2014/2015,10189,9788,1,0,2.6,3.3,2.75,2.6,3.2,2.7,2.45,3.3,2.7,2.5,3.4,2.8,2.68,3.45,2.8,2.5,3.3,2.8,2.7,3.4,2.75,65,35
9754,2014/2015,8721,8226,3,0,1.57,4.33,5.5,1.62,3.9,5,1.55,3.9,5.6,1.57,4.2,5.25,1.6,4.52,5.82,1.62,3.8,5.5,1.62,4.5,5.25,35,65
9755,2014/2015,9905,8177,0,2,1.91,3.6,4,1.91,3.3,4.1,2.1,3.3,3.3,1.9,3.5,4,1.92,3.6,4.55,1.91,3.5,4,1.92,3.6,4.4,41,59
9756,2014/2015,8406,9810,2,2,1.91,3.8,3.8,1.91,3.4,3.9,1.9,3.45,3.8,1.83,3.75,4,1.99,3.78,3.95,1.95,3.5,3.8,1.95,3.8,3.8,58,42
9757,2014/2015,8697,8178,2,1,4.2,3.75,1.85,3.9,3.6,1.87,3.8,3.45,1.9,4,3.75,1.83,4.49,3.84,1.86,4.33,3.3,1.91,4.2,3.8,1.9,57,43
9758,2014/2015,8358,9789,0,3,5.5,4,1.62,5,3.8,1.65,4.7,3.6,1.7,5.5,4,1.57,5.96,4.25,1.62,5.5,3.8,1.62,5.75,4.2,1.62,40,60
9759,2014/2015,10269,9823,0,2,13,7,1.2,9.75,6.75,1.23,9,5,1.3,13,6.5,1.2,15.5,6.92,1.23,15,5.5,1.22,15,7,1.22,76,24
9760,2014/2015,9790,9904,2,1,2.3,3.3,3.2,2.35,3.25,2.95,2.3,3.3,2.9,2.3,3.3,3.1,2.37,3.38,3.31,2.3,3.2,3.2,2.3,3.4,3.25,64,36
9761,2014/2015,8722,8460,0,0,1.95,3.5,4,1.91,3.3,4.1,1.85,3.45,4,1.9,3.5,4,1.95,3.58,4.37,1.95,3.25,4.2,1.95,3.5,4.3,44,56
9762,2014/2015,9823,9790,8,0,1.09,11,26,1.11,9.25,19,1.15,7,15,1.08,10,23,1.1,12.55,33.6,1.1,8,34,1.09,12,36,31,69
9763,2014/2015,9789,9905,4,2,1.33,5.25,9.5,1.35,5.1,7.5,1.42,4.4,7.2,1.33,5,9,1.33,5.85,10.33,1.33,5,9,1.33,5.75,10,42,58
9764,2014/2015,8178,8721,4,5,2.3,3.5,3,2.4,3.25,2.9,2.5,3.3,2.65,2.3,3.4,3,2.42,3.59,3.05,2.4,3.1,3.1,2.45,3.6,2.9,48,52
9765,2014/2015,9788,8722,1,0,1.73,3.6,5.25,1.72,3.6,4.75,1.65,3.6,5.1,1.61,3.75,5.5,1.78,3.73,5.3,1.75,3.5,5,1.75,3.7,5.25,23,77
