id,season,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,awaypos,homepos
9766,2014/2015,8226,10269,2,1,1.95,3.7,3.8,2,3.3,3.75,2,3.4,3.5,1.83,3.75,4,1.97,3.75,4.06,2,3.4,3.8,2,3.7,3.8,55,45
9767,2014/2015,9904,8460,1,2,1.85,3.6,4.33,1.85,3.5,4.1,1.85,3.45,4,1.83,3.6,4.1,1.83,3.82,4.7,1.85,3.5,4.2,1.87,3.8,4.4,31,69
9768,2014/2015,8177,8358,0,2,2.15,3.4,3.5,2.1,3.3,3.4,1.9,3.45,3.8,2.1,3.3,3.5,2.18,3.42,3.72,2.2,3.3,3.3,2.2,3.4,3.6,50,50
9769,2014/2015,8697,8406,3,2,2.6,3.4,2.7,2.65,3.2,2.65,2.3,3.3,2.9,2.6,3.3,2.62,2.63,3.49,2.83,2.7,3.1,2.7,2.55,3.5,2.8,60,40
9770,2014/2015,9810,10189,1,0,2.3,3.6,3,2.3,3.3,3,2.5,3.3,2.65,2.3,3.5,2.87,2.32,3.64,3.18,2.3,3.4,3,2.3,3.6,3,48,52
9771,2014/2015,10189,8697,1,1,2.05,3.5,3.6,2.05,3.5,3.4,1.9,3.45,3.8,1.95,3.6,3.6,2.05,3.67,3.84,2,3.75,3.4,2.05,3.75,3.6,44,56
9772,2014/2015,8721,8177,2,1,1.33,5.25,9,1.35,5,8,1.4,4.4,7.3,1.33,5,8.5,1.34,5.59,10.78,1.33,5,9,1.33,5.5,10,30,70
9773,2014/2015,9905,9810,3,1,2.4,3.5,2.9,2.4,3.4,2.8,2.4,3.1,2.95,2.3,3.5,2.9,2.36,3.65,3.1,2.4,3.1,3.1,2.38,3.6,3,46,54
9774,2014/2015,8406,8178,2,2,3.1,3.4,2.3,3,3.3,2.3,2.75,3.3,2.4,3.1,3.4,2.25,3.34,3.5,2.3,3.3,3.1,2.3,3.25,3.4,2.3,47,53
9775,2014/2015,8358,8226,1,1,3.1,3.5,2.25,3,3.3,2.3,2.6,3.2,2.6,3,3.4,2.3,3.36,3.64,2.23,3.3,3.1,2.3,3.2,3.6,2.25,46,54
9776,2014/2015,10269,9789,2,3,6,4,1.57,5.25,3.8,1.62,4.5,3.8,1.7,5.5,4,1.61,5.95,4.2,1.63,5.5,4,1.6,6.25,3.9,1.65,59,41
9777,2014/2015,9790,9788,1,1,3.1,3.4,2.3,3,3.3,2.3,2.7,3.3,2.45,3.1,3.4,2.25,3.4,3.35,2.34,3,3.25,2.38,3.3,3.4,2.3,48,52
9778,2014/2015,8722,9904,1,1,2.3,3.2,3.3,2.3,3.2,3.1,2.4,3.1,2.95,2.2,3.25,3.3,2.39,3.27,3.38,2.4,3.1,3.1,2.4,3.3,3.3,51,49
9779,2014/2015,8460,9823,0,6,17,7.5,1.17,15,6.85,1.18,13,5.8,1.2,17,7.5,1.16,22.3,8.4,1.17,19,5.5,1.2,21,8,1.17,66,34
9780,2014/2015,9823,8722,4,1,1.1,10,26,1.12,8.5,21,1.11,8,20,1.09,10,26,1.13,10.2,27.5,1.1,9,26,1.12,10,26,23,77
9781,2014/2015,9789,10189,3,0,1.5,4.33,6.5,1.53,4,6,,,,1.5,4.2,6.5,1.5,4.72,7,1.5,3.75,7.5,1.5,4.6,7,46,54
9782,2014/2015,8178,8358,1,0,1.36,4.75,9,1.36,5,7.25,1.4,4.6,6.8,1.36,4.75,9,1.37,5.32,9.63,1.36,4.5,9,1.36,5.25,9.5,38,62
9783,2014/2015,9788,8460,2,0,1.57,4.2,5.75,1.6,3.9,5.25,1.5,4,6.1,1.57,4,6,1.58,4.24,6.56,1.62,3.4,6.5,1.62,4.2,6,42,58
9784,2014/2015,8226,9905,2,0,2,3.6,3.6,2,3.4,3.6,2,3.3,3.6,1.95,3.75,3.6,2.03,3.81,3.77,2,3.2,4,2,3.8,3.75,40,60
9785,2014/2015,9904,10269,1,1,2.1,3.5,3.4,2.25,3.3,3.1,2.2,3.3,3.1,2.1,3.5,3.4,2.23,3.48,3.53,2.25,3.1,3.4,2.2,3.5,3.4,46,54
9786,2014/2015,8177,8406,1,0,2.8,3.4,2.5,2.8,3.1,2.55,2.6,3.2,2.6,3,3.3,2.4,3.06,3.29,2.57,2.8,3.1,2.6,3,3.4,2.55,61,39
9787,2014/2015,8697,8721,3,5,3.6,3.75,1.91,3.8,3.5,1.91,3.6,3.3,2,3.5,3.75,2,3.72,3.95,2.01,3.75,3.3,2,3.5,3.9,2,58,42
9788,2014/2015,9810,9790,2,1,2,3.6,3.6,2.05,3.3,3.6,2.1,3.3,3.3,2,3.6,3.6,1.99,3.81,3.92,2.05,3.2,3.75,2,3.8,3.7,52,48
9789,2014/2015,10189,8226,3,1,2.25,3.4,3.2,2.25,3.3,3.1,2.1,3.3,3.3,2.15,3.5,3.2,2.35,3.52,3.22,2.4,3.1,3.1,2.3,3.5,3.12,31,69
9790,2014/2015,9905,9788,2,2,2.6,3.3,2.75,2.65,3.2,2.65,2.65,3.3,2.5,2.75,3.3,2.5,2.71,3.35,2.84,2.7,3.1,2.7,2.7,3.3,2.8,61,39
9791,2014/2015,8406,8721,1,0,3.5,3.5,2.1,3.4,3.3,2.1,3.5,3.4,2,3.4,3.5,2.05,3.41,3.67,2.2,3.4,3.2,2.2,3.3,3.6,2.2,49,51
9792,2014/2015,9904,9823,1,3,13,6.5,1.22,9.5,6.75,1.25,11.5,6,1.22,11,6.5,1.22,15.17,6.93,1.24,13,5.5,1.25,13,6.5,1.25,74,26
9793,2014/2015,8358,8697,0,1,2.6,3.4,2.7,2.65,3.2,2.65,2.6,3.2,2.6,2.5,3.3,2.75,2.59,3.54,2.84,2.7,3.1,2.7,2.55,3.5,2.8,48,52
9794,2014/2015,10269,8177,0,0,2.1,3.3,3.6,2.15,3.4,3.25,2.15,3.3,3.2,2.05,3.3,3.75,2.16,3.35,3.87,2,3.4,3.75,2.15,3.4,3.75,31,69
9795,2014/2015,9790,9789,0,0,6,4.33,1.53,6,3.8,1.57,5.5,4,1.55,5.75,4.2,1.53,7.03,4.41,1.54,7,3.5,1.57,6.5,4.4,1.55,67,33
9796,2014/2015,8722,9810,4,2,2.4,3.3,3,2.45,3.25,2.8,2.5,3.3,2.65,2.4,3.3,2.87,2.51,3.44,3.02,2.5,3.1,2.9,2.45,3.4,3,65,35
9797,2014/2015,8460,8178,0,3,5,3.8,1.7,4.8,3.6,1.72,4.9,3.7,1.65,4.75,3.9,1.66,5.36,4.08,1.7,5.5,3.3,1.73,5,4,1.73,56,44
9798,2014/2015,9789,8722,0,0,1.33,5,10,1.36,4.75,8,1.35,4.8,7.6,1.33,5.25,9.5,1.36,5.37,10.08,1.36,4.5,10,1.36,5.25,10,28,72
9799,2014/2015,8178,10269,4,0,1.44,4.33,7.5,1.5,4.2,6,1.55,4,5.5,1.44,4.5,7.5,1.46,4.71,8.25,1.44,4.33,7.5,1.45,4.6,8,45,55
9800,2014/2015,8721,8358,3,0,1.33,5.25,9,1.36,4.75,8,1.35,4.8,7.6,1.36,5,9,1.39,5.4,8.6,1.36,4.8,8.5,1.36,5.4,8,52,48
9801,2014/2015,9788,9904,2,0,1.75,3.75,4.75,1.78,3.5,4.5,1.75,3.5,4.5,1.72,3.75,5,1.74,3.83,5.42,1.75,3.5,5,1.75,3.8,5,31,69
9802,2014/2015,8406,9905,0,2,1.95,3.5,4,2,3.4,3.6,1.9,3.45,3.8,1.95,3.5,4,2,3.64,4.08,2,3.2,4,2,3.7,4,40,60
9803,2014/2015,8226,9790,3,0,1.75,3.75,4.75,1.8,3.55,4.5,1.9,3.45,3.8,1.8,3.75,4.5,1.76,4.01,4.91,1.75,3.5,5,1.75,4,4.75,29,71
9804,2014/2015,8177,10189,2,2,2.75,3.25,2.63,2.7,3.1,2.65,2.65,3.3,2.5,2.87,3.25,2.6,2.96,3.31,2.64,2.8,3.1,2.62,2.9,3.3,2.62,64,36
9805,2014/2015,8697,9823,0,4,10,5.75,1.29,8,5.25,1.33,7.3,5,1.35,11,5.5,1.3,10.55,5.81,1.33,9,5,1.33,9,6,1.3,65,35
9806,2014/2015,9810,8460,4,0,1.73,3.8,4.75,1.72,3.6,4.75,1.75,3.6,4.3,1.7,4,4.75,1.73,4.24,4.85,1.75,3.5,5,1.75,4.2,4.6,39,61
9807,2014/2015,9823,9788,0,2,1.17,7.5,17,1.18,6.75,13.5,1.2,5.8,13,1.2,7,15,1.19,7.85,18,1.2,6.5,13,1.2,7.5,18,34,66
9808,2014/2015,10189,8178,0,1,3,3.5,2.3,2.9,3.2,2.4,2.57,3.3,2.57,3,3.4,2.37,3.08,3.57,2.4,2.9,3.4,2.38,3.12,3.5,2.38,49,51
9809,2014/2015,9905,8721,1,1,3.25,3.6,2.15,3.2,3.3,2.2,3.3,3.3,2.1,3.3,3.6,2.15,3.36,3.7,2.21,3.2,3.6,2.15,3.25,3.7,2.2,64,36
9810,2014/2015,9904,9789,2,3,5,4.2,1.62,4.75,3.8,1.67,4.5,3.7,1.7,5.25,4.2,1.61,5.38,4.03,1.7,5,3.8,1.67,5.4,4.2,1.67,51,49
9811,2014/2015,8358,8406,2,0,3,3.4,2.38,2.75,3.25,2.5,2.75,3.3,2.4,2.9,3.3,2.5,3.12,3.38,2.48,2.9,3.25,2.45,3,3.4,2.5,54,46
9812,2014/2015,10269,9810,3,1,2.5,3.4,2.8,2.5,3.3,2.7,2.3,3.3,2.9,2.45,3.5,2.87,2.49,3.64,2.91,2.4,3.5,2.8,2.45,3.6,2.88,52,48
9813,2014/2015,9790,8177,0,1,2.38,3.25,3.1,2.4,3.25,2.9,2.2,3.2,3.2,2.37,3.2,3.25,2.38,3.24,3.44,2.37,3,3.25,2.4,3.3,3.3,39,61
9814,2014/2015,8722,8697,1,1,2.2,3.4,3.3,2.3,3.3,3,2.2,3.3,3.1,2.25,3.4,3.25,2.29,3.45,3.41,2.25,3.25,3.25,2.25,3.4,3.3,54,46
9815,2014/2015,8460,8226,0,0,3.75,3.5,2,3.6,3.4,2,3.8,3.45,1.9,3.6,3.6,2.05,3.79,3.77,2.04,3.4,3.6,2.05,3.8,3.8,2,55,45
9816,2014/2015,9789,9823,0,1,3.3,3.5,2.15,3.25,3.4,2.15,3.2,3.4,2.1,3.5,3.5,2.15,3.54,3.57,2.18,3.25,3.5,2.15,3.5,3.5,2.2,56,44
9817,2014/2015,8178,9790,4,0,1.36,5,8.5,1.36,4.75,8.25,1.4,4.4,7.3,1.36,5,9,1.37,5.24,9.96,1.36,4.5,9,1.36,5,10.5,49,51
9818,2014/2015,8721,10269,3,1,1.44,4.75,7,1.47,4.4,6.5,1.5,4,6.1,1.44,4.75,7,1.46,4.99,7.44,1.44,4.5,7,1.5,5,6.5,52,48
9819,2014/2015,8406,10189,0,0,2.4,3.3,3,2.5,3.2,2.8,2.5,3.3,2.65,2.5,3.3,2.9,2.49,3.43,3.07,2.5,3.3,2.8,2.5,3.4,3,60,40
9820,2014/2015,8226,9788,1,4,2.7,3.5,2.6,2.7,3,2.7,2.6,3.2,2.6,2.62,3.4,2.7,2.8,3.45,2.68,2.6,3.4,2.62,2.75,3.5,2.63,69,31
9821,2014/2015,8177,8460,2,0,1.95,3.5,4,1.95,3.4,3.8,1.85,3.45,4,1.95,3.4,4.2,2.01,3.43,4.35,2,3.3,3.75,2,3.5,4.2,39,61
9822,2014/2015,8697,9905,0,0,2.5,3.4,2.8,2.5,3.2,2.8,2.3,3.3,2.9,2.4,3.5,2.9,2.43,3.6,3.02,2.5,3.2,2.88,2.45,3.5,2.88,52,48
9823,2014/2015,9810,9904,2,2,2,3.75,3.5,2,3.4,3.6,2,3.3,3.6,2,3.75,3.6,2.03,3.79,3.8,2.05,3.6,3.4,2,3.75,3.8,60,40
9824,2014/2015,8358,8722,1,0,2.6,3.2,2.8,2.7,3,2.7,2.5,3.2,2.75,2.62,3.2,2.88,2.71,3.21,2.95,2.7,3.1,2.7,2.75,3.25,2.8,50,50
9825,2014/2015,9823,9810,3,0,1.17,7.5,17,1.18,7,12,1.17,6.5,14,1.18,7.5,15,1.2,7.9,16.6,1.2,6,15,1.22,7.5,13,34,66
9826,2014/2015,10189,8358,0,0,1.67,3.75,5.5,1.72,3.7,4.6,1.6,3.9,5,1.65,3.8,5.5,1.72,3.92,5.4,1.73,3.4,5.5,1.73,3.9,5.2,33,67
9827,2014/2015,9788,9789,3,1,2.8,3.4,2.5,2.7,3.3,2.5,2.6,3.2,2.6,2.88,3.4,2.5,3.02,3.48,2.5,2.9,3.2,2.5,2.9,3.4,2.45,52,48
9828,2014/2015,9905,8178,2,3,3.3,3.4,2.2,3.3,3.2,2.2,3.5,3.4,2,3.4,3.5,2.15,3.46,3.55,2.23,3.3,3.3,2.2,3.4,3.5,2.2,50,50
9829,2014/2015,9904,8177,1,1,1.95,3.3,4.2,2.05,3.4,3.5,2.1,3.3,3.3,2.05,3.4,3.75,1.99,3.49,4.31,2.05,3.25,3.8,2,3.4,4.2,32,68
9830,2014/2015,10269,8697,3,2,2.15,3.5,3.3,2.2,3.25,3.25,2,3.3,3.6,2.15,3.5,3.4,2.19,3.65,3.46,2.2,3.3,3.3,2.15,3.6,3.4,48,52
9831,2014/2015,9790,8721,0,2,4.33,3.75,1.8,3.9,3.75,1.83,4.2,3.5,1.8,4.2,3.8,1.83,4.82,3.95,1.79,4.2,3.75,1.8,4.6,3.9,1.8,40,60
9832,2014/2015,8722,8226,3,2,2.4,3.3,3,2.45,3.3,2.75,2.4,3.3,2.75,2.45,3.25,3,2.5,3.41,3.06,2.5,3.2,2.9,2.45,3.4,3,50,50
9833,2014/2015,8460,8406,2,1,3.1,3.4,2.3,2.95,3.3,2.35,2.9,3.3,2.3,3.1,3.3,2.38,3.38,3.39,2.34,3.2,3.1,2.38,3.25,3.4,2.38,64,36
9834,2014/2015,9789,8460,3,0,1.22,6.5,13,1.25,6,10,1.28,5.7,8.3,1.22,6.5,13,1.27,6.51,12.78,1.29,5,12,1.25,6.5,13,38,62
9835,2014/2015,8178,9904,4,0,1.36,5.25,8,1.37,4.75,7.75,1.35,5,7.3,1.36,5,9,1.37,5.35,9.87,1.36,4.8,8.5,1.36,5.25,9.5,42,58
9836,2014/2015,8721,10189,1,1,1.7,3.8,5,1.7,3.6,5,1.75,3.7,4.1,1.75,4,4.5,1.77,4.06,4.82,1.75,3.5,5,1.75,4,4.75,65,35
9837,2014/2015,8406,10269,2,1,2.2,3.4,3.3,2.2,3.25,3.2,2.2,3.3,3.1,2.15,3.4,3.5,2.23,3.56,3.44,2.25,3.2,3.3,2.25,3.5,3.4,30,70
9838,2014/2015,8226,9823,0,2,5.5,4.2,1.6,4.75,4,1.65,3.8,3.8,1.8,5.5,4.2,1.6,5.56,4.39,1.63,5,4.2,1.62,5.25,4.2,1.67,71,29
9839,2014/2015,8177,8722,0,0,2.5,3.1,3.1,2.55,3.1,2.85,2.4,3.05,3,2.5,3.1,3.1,2.57,3.12,3.22,2.62,3,2.9,2.63,3.1,3.13,48,52
9840,2014/2015,8697,9790,1,0,2,3.5,3.8,2,3.4,3.6,2.05,3.4,3.4,2,3.6,3.8,2,3.72,3.96,2.05,3.4,3.6,2,3.7,3.8,34,66
9841,2014/2015,9810,9788,0,0,4.2,3.75,1.85,4.1,3.5,1.85,3.3,3.3,2.1,4.1,3.8,1.85,4.07,4.02,1.9,4,3.75,1.85,4.1,4,1.87,54,46
9842,2014/2015,8358,9905,2,3,2.8,3.3,2.6,2.65,3.2,2.65,2.6,3.2,2.6,2.8,3.3,2.6,2.93,3.36,2.62,2.75,3.2,2.62,2.9,3.3,2.6,51,49
9843,2014/2015,9823,10269,2,0,1.17,7.5,15,1.19,7.25,16.5,1.17,6.5,14,1.16,8,12,1.17,8.95,19.5,1.17,7,15,1.18,8,19,38,62
9844,2014/2015,9789,8358,3,1,1.25,6,10,1.26,6.5,10.5,1.33,4.8,8.3,1.28,5.5,10,1.28,6.5,11.6,1.29,5,12,1.3,6,10.5,30,70
9845,2014/2015,8178,8697,3,3,1.3,5.5,9,1.4,5.25,7.5,1.4,4.4,7.3,1.33,5.25,8,1.37,5.47,9.29,1.33,5,9,1.36,5.5,8.5,47,53
9846,2014/2015,9788,10189,4,1,2.4,3.4,2.8,2.5,3.4,2.85,2.35,3.3,2.85,2.37,3.25,3,2.42,3.58,3.06,2.4,3.1,3.1,2.4,3.5,3,55,45
9847,2014/2015,8226,8721,1,1,2.4,3.5,2.75,2.5,3.5,2.8,2.2,3.3,3.1,2.25,3.5,3,2.47,3.72,2.88,2.4,3.2,3,2.45,3.6,2.9,45,55
9848,2014/2015,9904,9790,2,0,2.2,3.4,3.2,2.25,3.5,3.2,2.1,3.3,3.3,2.15,3.4,3.3,2.19,3.6,3.5,2.2,3.3,3.3,2.2,3.6,3.3,32,68
9849,2014/2015,8177,9905,1,3,2.25,3.3,3.2,2.35,3.4,3.1,2.2,3.3,3.1,2.25,3.4,3.1,2.29,3.42,3.45,2.3,3.2,3.2,2.25,3.4,3.4,53,47
9850,2014/2015,9810,8406,0,1,2.25,3.3,3.2,2.3,3.5,3.1,2.1,3.3,3.3,2.2,3.4,3.2,2.29,3.52,3.34,2.3,3.2,3.2,2.3,3.5,3.2,49,51
9851,2014/2015,8460,8722,0,0,2.9,3.2,2.45,2.9,3.25,2.6,2.6,3.2,2.6,2.9,3.3,2.4,3.1,3.35,2.5,3.1,3.1,2.4,3,3.4,2.5,54,46
9852,2014/2015,9823,8177,1,0,1.17,7.5,17,1.17,7.25,15.5,1.15,7,15,1.17,7.5,19,1.16,8.4,23.8,1.14,7.5,17,1.17,8,22,24,76
9853,2014/2015,9789,9810,2,0,1.33,5.25,9,1.35,5,8,1.4,4.6,6.8,1.33,5.25,9.5,1.33,5.99,10.09,1.33,4.6,10,1.33,5.75,9.5,41,59
9854,2014/2015,9788,8721,1,0,2.4,3.5,2.88,2.35,3.3,2.9,2.3,3.3,2.9,2.3,3.4,3.2,2.35,3.58,3.18,2.3,3.2,3.2,2.3,3.5,3.1,36,64
9855,2014/2015,9905,10189,2,0,2.45,3.3,2.9,2.45,3.25,2.8,2.4,3.3,2.75,2.45,3.4,2.9,2.49,3.58,2.94,2.45,3.3,2.88,2.45,3.5,2.9,55,45
9856,2014/2015,9904,8226,1,2,2.4,3.5,2.88,2.45,3.25,2.8,2.3,3.3,2.9,2.5,3.4,2.88,2.44,3.62,2.99,2.5,3.2,2.88,2.45,3.6,2.9,45,55
9857,2014/2015,10269,8358,2,2,1.91,3.6,4,1.91,3.3,4.1,1.85,3.45,4,1.95,3.5,4,1.94,3.65,4.32,1.95,3.3,4,1.95,3.6,4.2,43,57
9858,2014/2015,9790,8406,3,2,2.7,3.4,2.6,2.7,3.1,2.65,2.5,3.3,2.65,2.7,3.3,2.7,2.78,3.4,2.73,2.7,3.1,2.7,2.75,3.4,2.75,56,44
9859,2014/2015,8722,8178,1,1,4.75,3.8,1.75,4.4,3.7,1.75,4,3.45,1.85,4.75,3.75,1.75,5.4,3.85,1.74,4.8,3.6,1.75,5.2,3.8,1.75,56,44
9860,2014/2015,8460,8697,2,2,2.7,3.4,2.6,2.7,3.2,2.6,2.65,3.3,2.5,2.7,3.4,2.6,2.72,3.62,2.67,2.7,3.1,2.7,2.63,3.6,2.63,67,33
9861,2014/2015,10189,10269,3,2,1.91,3.6,4,1.95,3.6,3.6,2.1,3.4,3.2,1.91,3.75,3.9,1.97,3.73,4.09,2,3.2,4,2,3.7,3.9,28,72
9862,2014/2015,8178,9823,2,0,2.38,3.3,3.1,2.4,3.2,3.1,2.4,3.3,2.75,2.38,3.3,3.1,2.39,3.5,3.16,2.3,3.3,3.1,2.38,3.5,3.13,52,48
9863,2014/2015,8721,9904,2,2,1.4,4.75,8,1.4,5,6.5,1.4,4.8,6.4,1.4,5,7.5,1.42,5.13,8.13,1.4,4.5,8,1.44,5,7.5,43,57
9864,2014/2015,9905,9790,1,2,1.73,3.8,4.75,1.78,3.6,4.4,1.9,3.5,3.75,1.75,3.9,4.5,1.81,3.96,4.67,1.75,3.5,5,1.8,4,4.6,48,52
9865,2014/2015,8406,8722,0,0,2.1,3.4,3.6,2.15,3.3,3.3,2.1,3.2,3.4,2.15,3.3,3.6,2.16,3.44,3.72,2.2,3.2,3.4,2.15,3.4,3.6,46,54
9866,2014/2015,8226,9789,1,1,4,4,1.83,4.1,3.5,1.85,4.2,3.7,1.75,4,4,1.83,4.39,4.04,1.84,4,3.75,1.85,4.1,4,1.87,51,49
9867,2014/2015,8177,9788,1,2,5,3.6,1.75,4.5,3.5,1.78,4,3.45,1.85,4.75,3.6,1.8,5.05,3.65,1.83,5,3.3,1.8,5,3.6,1.83,71,29
9868,2014/2015,8697,9810,1,0,2.05,3.75,3.4,2.1,3.4,3.3,2,3.4,3.5,2.05,3.75,3.3,2.13,3.86,3.44,2.15,3.5,3.2,2.15,3.8,3.3,52,48
9869,2014/2015,8358,8460,1,2,1.91,3.6,4,1.95,3.4,3.75,2,3.3,3.6,1.95,3.6,3.8,1.96,3.71,4.15,2,3.2,4,2,3.7,3.9,38,62
9870,2014/2015,9823,8406,0,1,1.53,4.33,6,1.55,4,5.75,1.5,4,6.1,1.5,4.33,7,1.52,4.49,7.18,1.53,4,6.5,1.53,4.4,7,33,67
9871,2014/2015,9789,8177,2,0,1.29,5.5,11,1.33,5,8.5,1.35,4.8,7.6,1.3,5.5,11,1.32,5.74,11.37,1.33,5,9.5,1.3,5.75,12,50,50
9872,2014/2015,9788,8178,3,0,2.5,3.4,2.8,2.55,3.25,2.7,2.4,3.3,2.75,2.45,3.4,2.9,2.57,3.47,2.91,2.6,3.3,2.7,2.55,3.4,2.9,43,57
9873,2014/2015,9904,8697,1,1,2,3.6,3.6,2.05,3.5,3.4,,,,2.05,3.75,3.4,2.04,3.83,3.73,2.05,3.5,3.5,2.05,3.8,3.5,47,53
9874,2014/2015,9810,8226,3,1,2.8,3.6,2.4,2.8,3.3,2.45,2.53,3.5,2.53,2.7,3.6,2.5,2.82,3.74,2.51,2.7,3.5,2.5,2.75,3.75,2.45,44,56
9875,2014/2015,10269,9905,2,0,2,3.5,3.8,2,3.6,3.4,2,3.5,3.4,2.05,3.6,3.6,2.03,3.89,3.71,2,3.4,3.8,2.05,3.8,3.6,47,53
9876,2014/2015,9790,8358,1,1,2.2,3.4,3.3,2.15,3.4,3.2,,,,2.2,3.5,3.3,2.25,3.53,3.42,2.15,3.4,3.3,2.25,3.5,3.3,53,47
9877,2014/2015,8722,10189,2,0,2.75,3.3,2.6,2.7,3.1,2.7,2.75,3.3,2.4,2.75,3.3,2.62,2.9,3.23,2.75,2.7,3.1,2.7,2.88,3.3,2.7,60,40
9878,2014/2015,8460,8721,1,3,4.75,4.2,1.67,5.25,3.7,1.65,4.3,3.9,1.7,5,4,1.67,5.49,4.23,1.66,5,3.6,1.7,4.8,4.2,1.7,55,45
9879,2014/2015,10189,8460,1,0,1.62,4.2,5.25,1.62,4.1,4.75,1.6,3.9,5,1.62,4.2,5.25,1.63,4.41,5.53,1.62,3.8,5.5,1.65,4.4,5.4,44,56
9880,2014/2015,8178,8226,2,0,1.4,5,7.5,1.42,5,6,1.45,4,7,1.4,5,7.5,1.43,5.28,7.48,1.44,4.5,7,1.44,5.25,7,45,55
9881,2014/2015,8721,9789,2,1,2.63,3.5,2.6,2.5,3.4,2.65,2.5,3.4,2.6,2.6,3.6,2.62,2.68,3.66,2.66,2.6,3.3,2.7,2.63,3.6,2.63,55,45
9882,2014/2015,9905,8722,2,0,2.1,3.4,3.6,2.1,3.3,3.4,2,3.3,3.6,2.1,3.4,3.6,2.14,3.6,3.61,2.2,3.1,3.5,2.15,3.6,3.5,47,53
9883,2014/2015,8406,9904,1,2,2.3,3.4,3.1,2.15,3.4,3.2,2.2,3.4,3,2.2,3.5,3.3,2.26,3.58,3.37,2.3,3.3,3.1,2.3,3.5,3.13,33,67
9884,2014/2015,8177,9810,0,0,2,3.5,3.75,1.95,3.6,3.6,1.9,3.3,4,2.05,3.6,3.6,2.05,3.65,3.87,2.05,3.5,3.5,2.05,3.6,3.7,55,45
9885,2014/2015,8697,9788,0,2,4.33,4,1.75,4.2,3.5,1.83,3.8,3.45,1.9,4.2,3.8,1.8,4.6,4.09,1.79,4.2,4,1.73,4.33,4,1.83,62,38
9886,2014/2015,8358,9823,2,1,7,4.2,1.5,5.25,4.2,1.55,5.4,3.7,1.6,7,4.33,1.5,7.15,4.66,1.5,6,4.2,1.53,6.5,4.6,1.53,80,20
9887,2014/2015,10269,9790,2,1,1.75,3.8,4.75,1.75,3.7,4.4,1.9,3.45,3.8,1.75,3.75,4.75,1.76,4.06,4.84,1.75,3.5,5,1.75,4,4.75,35,65
9888,2014/2015,9823,9905,2,0,1.2,7,13,1.23,6.25,10.5,1.2,5.8,13,1.22,6.5,12,1.25,7.27,12.4,1.25,5.5,12,1.22,7,13,20,80
